関数名,概要,引数名,型,入力/出力,説明,戻り値
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_macsec_sc_stats_fn,Clear MACsec Secure Channel counters,macsec_sc_id,sai_object_id_t,入力,MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_macsec_sa_fn,Create a MACsec Secure Association,macsec_sa_id,sai_object_id_t *,出力,The MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch/PHY Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_macsec_sa_fn,Delete a MACsec Secure Association,macsec_sa_id,sai_object_id_t,入力,The MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_macsec_sa_attribute_fn,Set MACsec Secure Association attribute,macsec_sa_id,sai_object_id_t,入力,The MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_macsec_sa_attribute_fn,Get MACsec Secure Association attribute,macsec_sa_id,sai_object_id_t,入力,MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_macsec_sa_stats_fn,Get MACsec Secure Association counters,macsec_sa_id,sai_object_id_t,入力,MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_macsec_sa_stats_ext_fn,Get MACsec Secure Association counters extended,macsec_sa_id,sai_object_id_t,入力,MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Should match SAI_MACSEC_ATTR_STATS_MODE,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_macsec_sa_stats_fn,Clear MACsec Secure Association counters,macsec_sa_id,sai_object_id_t,入力,MACsec Secure Association id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

